;NUM_ART;variable;value;QTE_VTE;Standard_CPQ;score;score_cum;flag_alerte;flag_inv;flag_stk;score_cum_before;flag_inv_before;flag_inv_period
141;561533;2020-02-16;0.46391166666666667;0.0;13.0;0.03568551282051282;0.03568551282051282;1;;;0;;
142;561652;2020-02-16;0.6956433333333333;0.0;13.0;0.05351102564102564;0.05351102564102564;1;;;0;;
143;562520;2020-02-16;0.060669999999999995;0.0;7.0;0.008667142857142856;0.008667142857142856;1;;;0;;
144;562632;2020-02-16;0.07002;0.0;2.0;0.03501;0.03501;0;;0.0;0;;
145;562653;2020-02-16;0.36203499999999994;0.0;20.0;0.018101749999999996;0.018101749999999996;0;;0.0;0;;
146;562660;2020-02-16;0.9821733333333333;0.0;16.0;0.061385833333333334;0.061385833333333334;1;;;0;;
147;562723;2020-02-16;0.4295833333333334;0.0;18.0;0.023865740740740743;0.023865740740740743;1;;;0;;
148;571984;2020-02-16;0.33383333333333337;0.0;6.0;0.0556388888888889;0.0556388888888889;1;;;0;;
149;572005;2020-02-16;0.07614;0.0;5.0;0.015228;0.015228;1;;;0;;
150;572012;2020-02-16;0.21090333333333333;0.0;4.0;0.05272583333333333;0.05272583333333333;1;;;0;;
151;572033;2020-02-16;0.07412666666666667;0.0;4.0;0.01853166666666667;0.01853166666666667;1;;;0;;
152;579411;2020-02-16;0.028848333333333337;0.0;2.0;0.014424166666666668;0.014424166666666668;1;;;0;;
153;585046;2020-02-16;3.9351516666666666;12.0;2.0;-17.260444659917365;0.0;0;;;0;;
154;585053;2020-02-16;0.10171833333333334;1.0;2.0;-1.2017274881673612;0.0;0;;;0;;
155;591150;2020-02-16;0.06796166666666666;0.0;2.0;0.03398083333333333;0.03398083333333333;1;;;0;;
156;591164;2020-02-16;0.0;0.0;2.0;0.0;0.0;0;;;0;;
157;593740;2020-02-16;0.06366333333333334;0.0;4.0;0.015915833333333334;0.015915833333333334;1;;;0;;
158;608965;2020-02-16;0.046226666666666666;0.0;3.0;0.015408888888888889;0.015408888888888889;1;;;0;;
159;626633;2020-02-16;0.0;0.0;1.0;0.0;0.0;0;;;0;;
160;629060;2020-02-16;0.10379833333333333;0.0;5.0;0.020759666666666666;0.020759666666666666;1;;;0;;
161;632023;2020-02-16;0.03814666666666667;0.0;1.0;0.03814666666666667;0.03814666666666667;1;;;0;;
162;632030;2020-02-16;0.045728333333333336;0.0;2.0;0.022864166666666668;0.022864166666666668;1;;;0;;
163;640332;2020-02-16;0.05638166666666667;0.0;4.0;0.014095416666666668;0.014095416666666668;1;;;0;;
164;645211;2020-02-16;0.2234866666666667;1.0;3.0;-1.0669969952049383;0.0;0;;;0;;
165;645225;2020-02-16;0.04332833333333333;0.0;3.0;0.014442777777777777;0.014442777777777777;1;;;0;;
166;645232;2020-02-16;0.01995;0.0;3.0;0.00665;0.00665;1;;;0;;
167;645281;2020-02-16;0.07211166666666667;0.0;3.0;0.024037222222222224;0.024037222222222224;1;;;0;;
168;645295;2020-02-16;0.08154333333333334;0.0;2.0;0.04077166666666667;0.04077166666666667;1;;;0;;
169;645302;2020-02-16;0.09597499999999999;0.0;4.0;0.023993749999999998;0.023993749999999998;1;;;0;;
170;645316;2020-02-16;0.03880666666666667;0.0;2.0;0.019403333333333335;0.019403333333333335;1;;;0;;
171;645330;2020-02-16;0.0;0.0;5.0;0.0;0.0;0;;;0;;
172;645344;2020-02-16;0.05634;0.0;5.0;0.011268;0.011268;1;;;0;;
173;645351;2020-02-16;0.12444333333333334;0.0;6.0;0.020740555555555557;0.020740555555555557;1;;;0;;
174;645400;2020-02-16;0.11529166666666667;1.0;3.0;-1.0869676483410493;0.0;0;;;0;;
175;659400;2020-02-16;0.06971166666666666;0.0;2.0;0.03485583333333333;0.03485583333333333;1;;;0;;
176;659834;2020-02-16;0.16031;0.0;7.0;0.022901428571428573;0.022901428571428573;1;;;0;;
177;659841;2020-02-16;0.041765000000000004;0.0;8.0;0.0052206250000000004;0.0052206250000000004;1;;;0;;
178;659855;2020-02-16;0.04305;0.0;3.0;0.01435;0.01435;1;;;0;;
